                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9824,                  0.492,                 0.8739,                0.45453,                0.19838,                0.22902,                0.12267,                 1.2986,                   0.63,                  0.937,              0.0033225,              0.0033225,              0.0033225
                      2,                 1.0126,                0.50748,                0.87758,                 0.4518,                0.20806,                0.23085,                0.12353,                 1.2949,                 0.6382,                0.93496,              0.0065241,              0.0065241,              0.0065241
                      3,                 1.0224,                0.52244,                0.88281,                0.45726,                0.21085,                 0.2323,                0.12181,                  1.315,                0.66837,                0.94403,              0.0095936,              0.0095936,              0.0095936
                      4,                 1.0204,                0.51187,                0.88306,                 0.4696,                 0.2057,                0.22681,                0.11841,                 1.3281,                0.64354,                 0.9433,               0.009406,               0.009406,               0.009406
                      5,                 1.0036,                0.50067,                0.87949,                0.42112,                0.20009,                0.22398,                0.11853,                 1.3191,                0.65375,                0.94249,               0.009406,               0.009406,               0.009406
                      6,                0.99432,                0.49461,                0.87695,                0.42948,                0.20825,                0.22523,                0.11844,                 1.3097,                0.65364,                0.93859,               0.009208,               0.009208,               0.009208
                      7,                0.98464,                 0.4896,                0.87556,                0.41864,                 0.1964,                0.22149,                0.11699,                 1.3215,                0.64706,                0.93933,                0.00901,                0.00901,                0.00901
                      8,                 0.9763,                0.48474,                 0.8745,                0.42734,                0.21153,                0.23013,                0.12187,                 1.2996,                0.63841,                0.94044,               0.008812,               0.008812,               0.008812
                      9,                0.97409,                0.48234,                0.87282,                0.43893,                 0.2102,                0.23361,                0.12411,                 1.2844,                 0.6352,                0.93364,               0.008614,               0.008614,               0.008614
                     10,                0.96777,                0.47947,                0.87246,                0.48199,                0.21667,                0.23914,                0.12691,                 1.2692,                0.62226,                0.93046,               0.008416,               0.008416,               0.008416
                     11,                0.96356,                0.47609,                0.86941,                0.50344,                0.20545,                0.23641,                0.12603,                 1.2835,                0.63775,                0.93491,               0.008218,               0.008218,               0.008218
